0,39,Government,Bachelors,Single,White-Collar,White,Male,40,0
1,50,Self-Employed,Bachelors,Married,White-Collar,White,Male,13,0
2,38,Private,HS-grad,Divorced,Blue-Collar,White,Male,40,0
3,53,Private,School,Married,Blue-Collar,Other,Male,40,0
4,28,Private,Bachelors,Married,Professional,Other,Female,40,0
5,37,Private,Masters,Married,White-Collar,White,Female,40,0
6,49,Private,School,Married,Service,Other,Female,16,0
7,52,Self-Employed,HS-grad,Married,White-Collar,White,Male,45,1
8,31,Private,Masters,Single,Professional,White,Female,50,1
9,42,Private,Bachelors,Married,White-Collar,White,Male,40,1
10,37,Private,Some-college,Married,White-Collar,Other,Male,80,1
11,30,Government,Bachelors,Married,Professional,Other,Male,40,1
12,23,Private,Bachelors,Single,White-Collar,White,Female,30,0
13,32,Private,Assoc,Single,Sales,Other,Male,50,0
14,40,Private,Assoc,Married,Blue-Collar,Other,Male,40,1
15,34,Private,School,Married,Blue-Collar,Other,Male,45,0
16,25,Self-Employed,HS-grad,Single,Blue-Collar,White,Male,35,0
17,32,Private,HS-grad,Single,Blue-Collar,White,Male,40,0
18,38,Private,School,Married,Sales,White,Male,50,0
19,43,Self-Employed,Masters,Divorced,White-Collar,White,Female,45,1
20,40,Private,Doctorate,Married,Professional,White,Male,60,1
21,54,Private,HS-grad,Separated,Service,Other,Female,20,0
22,35,Government,School,Married,Blue-Collar,Other,Male,40,0
23,43,Private,School,Married,Blue-Collar,White,Male,40,0
24,59,Private,HS-grad,Divorced,Service,White,Female,40,0
25,56,Government,Bachelors,Married,Service,White,Male,40,1
26,19,Private,HS-grad,Single,Blue-Collar,White,Male,40,0
27,54,Other/Unknown,Some-college,Married,Other/Unknown,Other,Male,60,1
28,39,Private,HS-grad,Divorced,White-Collar,White,Male,80,0
29,49,Private,HS-grad,Married,Blue-Collar,White,Male,40,0
30,23,Government,Assoc,Single,Service,White,Male,52,0
31,20,Private,Some-college,Single,Sales,Other,Male,44,0
32,45,Private,Bachelors,Divorced,White-Collar,White,Male,40,0
33,30,Government,Some-college,Married,White-Collar,White,Male,40,0
34,22,Government,Some-college,Married,Service,Other,Male,15,0
35,48,Private,School,Single,Blue-Collar,White,Male,40,0
36,21,Private,Some-college,Single,Blue-Collar,White,Male,40,0
37,19,Private,HS-grad,Married,White-Collar,White,Female,25,0
38,31,Private,Some-college,Married,Sales,White,Male,38,1
39,48,Self-Employed,Assoc,Married,Professional,White,Male,40,0
40,31,Private,School,Married,Blue-Collar,White,Male,43,0
41,53,Self-Employed,Bachelors,Married,Professional,White,Male,40,0
42,24,Private,Bachelors,Married,Service,White,Male,50,0
43,49,Private,HS-grad,Separated,White-Collar,White,Female,40,0
44,25,Private,HS-grad,Single,Blue-Collar,White,Male,35,0
45,57,Government,Bachelors,Married,Professional,Other,Male,40,1
46,53,Private,HS-grad,Married,Blue-Collar,White,Male,38,0
47,44,Private,Masters,Divorced,White-Collar,White,Female,40,0
