0,90.0,Government,Prof-school,Single,White-Collar,White,Male,36.0,0.694
1,27.0,Government,Doctorate,Married,White-Collar,White,Female,40.0,0.881
2,39.0,Private,Bachelors,Married,White-Collar,White,Male,29.0,0.786
3,39.0,Self-Employed,Doctorate,Single,Professional,White,Male,45.0,0.665
4,53.0,Government,Bachelors,Single,White-Collar,White,Male,60.0,0.598
0,17.0,Private,Bachelors,Married,White-Collar,White,Male,13.0,0.192
1,49.0,Self-Employed,Bachelors,Separated,Service,White,Male,1.0,0.158
2,51.0,Self-Employed,HS-grad,Single,White-Collar,Other,Male,20.0,0.155
3,50.0,Other/Unknown,Bachelors,Divorced,Blue-Collar,White,Male,14.0,0.149
4,86.0,Self-Employed,School,Married,White-Collar,White,Male,11.0,0.283
0,90.0,Private,Masters,Married,Blue-Collar,White,Male,43.0,0.809
1,47.0,Private,Doctorate,Divorced,Sales,White,Male,40.0,0.68
2,51.0,Private,HS-grad,Married,White-Collar,White,Female,39.0,0.671
3,29.0,Self-Employed,Prof-school,Married,Blue-Collar,White,Male,39.0,0.793
4,47.0,Private,Doctorate,Divorced,White-Collar,White,Male,60.0,0.834
0,53.0,Private,Doctorate,Married,Blue-Collar,Other,Male,20.0,0.747
1,40.0,Private,Doctorate,Married,Blue-Collar,White,Female,40.0,0.849
2,90.0,Private,Masters,Married,Blue-Collar,Other,Male,39.0,0.774
3,53.0,Private,Prof-school,Married,Professional,Other,Male,41.0,0.901
4,54.0,Private,Doctorate,Married,Blue-Collar,Other,Male,64.0,0.894
0,28.0,Private,Bachelors,Divorced,Professional,Other,Female,19.0,0.065
1,43.0,Private,Bachelors,Separated,Other/Unknown,Other,Female,40.0,0.199
2,17.0,Private,Some-college,Married,Professional,Other,Female,40.0,0.223
3,28.0,Private,Bachelors,Single,Professional,Other,Female,59.0,0.153
4,29.0,Other/Unknown,School,Married,Professional,Other,Male,41.0,0.125
0,37.0,Private,Masters,Divorced,White-Collar,White,Female,24.0,0.334
1,17.0,Private,Some-college,Married,White-Collar,White,Male,39.0,0.193
2,26.0,Private,Masters,Single,White-Collar,White,Female,54.0,0.219
3,37.0,Private,HS-grad,Separated,Blue-Collar,White,Female,40.0,0.054
4,39.0,Other/Unknown,School,Widowed,White-Collar,Other,Female,41.0,0.073
0,89.0,Private,Doctorate,Married,White-Collar,Other,Female,16.0,0.884
1,55.0,Government,Doctorate,Married,Service,White,Female,16.0,0.792
2,48.0,Private,Masters,Married,Service,Other,Male,13.0,0.693
3,79.0,Private,Bachelors,Married,Professional,Other,Female,26.0,0.738
4,47.0,Private,Prof-school,Married,Service,Other,Female,40.0,0.863
0,17.0,Self-Employed,HS-grad,Married,White-Collar,White,Male,44.0,0.319
1,62.0,Self-Employed,HS-grad,Separated,Service,White,Male,46.0,0.182
